(0,6399.4795109927)
(1,5770.8728184889505)
(2,5429.124208302942)
(3,5208.813258992507)
(4,5051.225631435384)
(5,4931.833879159379)
(6,4837.725612219602)
(7,4761.426488355824)
(8,4698.269667458018)
(9,4645.06362469583)
(10,4599.435423837099)
(11,4559.829915501314)
(12,4525.035889265037)
(13,4494.20789428509)
(14,4466.648753607179)
(15,4441.829866900801)
(16,4419.227690490261)
<<<<<<< HEAD
(38,4165.563901691701)
=======
(17,4398.509370439802)
(18,4379.434629291978)
(19,4361.7598826427275)
(20,4345.396412743413)
(21,4330.113365416963)
(22,4315.848001474107)
(23,4302.444146349877)
(24,4289.840738874012)
(25,4277.948722457874)
(26,4266.688852675151)
(27,4255.977614759944)
(28,4245.815519026327)
(29,4236.170657164292)
(30,4226.964710141137)
(31,4218.180574208632)
(32,4209.7524039616355)
(33,4201.645834689888)
(34,4193.862190078417)
(35,4186.389676892849)
(36,4179.194912693487)
(37,4172.265087499013)
>>>>>>> GAT
